Name,Typing,Stat Lean,Role,Battle Niche,Visual Description,Lore Snippet,
Kyntra,Cyber,"High GRD, High STA",Tank,"Reflects tech-based attacks, hazard denial",A beetle-bot with rotating shell panels and antennae,"Wanders Netraxis, absorbing rogue code.",x
Mirellon,Cosmic,"High MAG, Medium SWF",Special Sweeper,Warp beam scales with time in battle,A jellyfish-like entity that floats on invisible gravity fields,Zips across Zenithreach on meteor trails.,x
Mimari,Neutral,Balanced,Generalist,Learns moves from allies and enemies,A raccoon-badger mix with shifting fur colors,Lives in Nohara and thrives in all biomes.,x
Gravanel,Flora/Cursed,"High MGT, Medium GRD",Bruiser,Physical melee plant with vine strikes,A boar with petal-covered back and root tendrils for legs,Rampages through flower fields in Verdanta.,x
Solaire,Inferno,"High MAG, Low STA",Burst Caster,Explosion-based magic finisher,A fiery bird that combusts mid-flight into a burst phoenix,Flies only once per season above Emberveil.,x
Finyu,Aqua,"Balanced, Medium SWF",Utility Pivot,Washes away hazards and debuffs,A cub-like amphibian with water pads on its feet,Helps train young Kiboru in Tidewake schools.,x
Fernace,Inferno/Flora,"High MGT, Medium STA",Setup Sweeper,Burning brambles enhance physical strikes,A boar with fire-veined vines spiraling from its tusks,"Roams the Firethorn Wilds, igniting enemy camps and rooting invaders.",x
Narviu,Aqua/Frost,"High WIL, High MAG",Wall,Applies slow and leeching mist,A ghostly narwhal with icy fins and misty breath,"Guards the frozen harbors of Cryomar Bay, freezing trespassers in fog.",
Vollox,Volt/Terra,"High GRD, High STA",Tank,Charges up after taking damage,A tortoise with lightning-charged boulders on its back,Harnesses Stormspire surges and Gravemarch stones to create thunderquakes.,x
Sombrae,Mind/Spirit,"High MAG, High STA",Disruptor,"Phases in and out of turns, confusing enemies",A floating mask with shadowy ribbons that whisper riddles,Appears in the Whispering Vale to test the will of travelers.,x
Hexel,Cyber/Cursed,"Medium MAG, High STA",Utility,Reflects debuffs and disables enemy buffs,A spiderbot with glitching limbs and cracked chrome,"Its code was corrupted in the Silicon Wastes, granting unnatural powers.",x
Trevolt,Flora/Volt,"High SWF, Medium MGT",Pivot,Strikes and seeds simultaneously,A panther with electrified vines for claws,Strikes from canopy shadows in the Jungle Spark Expanse.,x
Skaiya,Wind/Bless,"High SWF, Medium MAG",Support,Sets weather and grants evasion buffs,A swan-like Kiboru with flowing veils of skylight,Hailed as a sacred omen in Skyrend and Halohaven.,x
Scaithe,Inferno/Cursed,"High MGT, Low STA",Revenge Killer,Deals bonus damage after a fallen ally,A demonic hound wreathed in chains and black flame,"Forged in Emberveil prisons, it roams Malmortis borderlands.",x
Zerine,Frost/Volt,"High SWF, High MAG",Burst Attacker,Freezes then shocks for bonus damage,A lynx with crackling fur and snowburst aura,"Dashes between Glacien cliffs, leaving spark-frost trails.",x
Mylaren,Mythos/Flora,"Balanced Stats, High STA",Zone Setter,Establishes a field that boosts growth and legends,A deer-dragon with barklike scales and glowing antlers,Said to be the seedling of an Eldralore world tree.,x
Gravyrn,Wind/Terra,"High GRD, Medium SWF",Wall,Gains DEF in stormy weather,A griffon with rock-plated feathers and sonic screeches,Guards cliffside battlements between Skyrend and Gravemarch.,x
Neorift,Cosmic/Cyber,"High MAG, High STA",Special Sweeper,Teleports between enemy targets,A neon-shelled insect that phases between light and code,Zips between Zenithreach and Netraxis through unstable rifts.,x
Lumira,Bless/Cursed,"High WIL, Medium MAG",Cleric,Heals allies but siphons their debuffs,A weeping angel statue with cracked wings,Left forgotten between Halohaven’s holy lands and Malmortis’s sorrow fields.,x
Eurgeist,Aqua/Spirit,"High WIL, High MAG",Wall,Summons tide armor from souls of drowned foes,A translucent eel ghost with ocean glyphs glowing in its body,Haunts the sea cliffs between Tidewake and Umbradeep.,x
Soltren,Inferno/Volt,"High SWF, High MAG",Setup Sweeper,Stacks speed with each KO,A falcon wreathed in fire-lightning feathers,Crashes from Emberveil peaks into Stormspire lightning nests.,x
Synkra,Mind/Volt,"High SWF, High MAG",Tempo Swinger,Steals initiative with mind shocks,A monkey with neuron-lit hair and spark eyes,Studies battlefield behavior from Stormspire towers and Cerevale domes.,x
Myrabyte,Cyber/Spirit,"High STA, Medium MAG",Utility,Copies enemy moves post-KO,A floating hard-drive with soul flames stored inside,Constructed in Netraxis to contain wandering spirits.,x
Frisela,Frost/Bless,"High WIL, Medium VIT",Cleric,Heals allies and shields with snow,A foxlike beast with radiant frost feathers and a glowing halo,Descends from Glacien peaks during winter rituals.,x
Noxtar,Cursed/Cosmic,"High MAG, Medium SWF",Burst Nuker,Spends HP to deal high AoE damage,A skeletal crustacean leaking black stars from its shell,Scuttles across Zenithreach's void tide pools.,x
Rokhara,Mythos/Terra,"High MGT, Medium GRD",Bruiser,Each attack unlocks a passive rune,A sabertooth with runes glowing beneath stone plates,Wakes during earthquakes in Eldralore and Gravemarch.,x
Turtaura,Bless/Cyber,"High STA, Medium WIL",Utility Support,Shields allies and resets terrain,A floating satellite turtle with light orbiting it,Built in Netraxis as a beacon by Halohaven engineers.,x
Miravi,Spirit/Wind,"High SWF, Medium STA",Pivot,Can mimic enemy support moves,A semi-transparent fox with trail illusions,Lures enemies into traps across Umbradeep breezes.,x
Lychbloom,Flora/Spirit,"High WIL, High STA",Wall,Nullifies stat drops and status,A hermit-crab ghost with a garden growing on its shell,Grows from grave-moss in the Verdanta–Umbradeep paths.,x
Galeva,Wind/Neutral,Balanced,Pivot,Can reset battlefield states once per match,A light-furred beast with a windmill tail,"Wanders Nohara and Skyrend, known as a sign of balance.",x
Crynith,Cursed,"High MAG, Low STA",Disruptor,Randomly disables enemy passives for 2 turns,"A hyena-like specter with twisted bone ridges forming glyphs down its back. Its jaw flickers with voidlight, constantly laughing in low, glitchy echoes.","In haunted pockets of Umbradeep, Vyrisk is blamed when luck twists cruelly. It doesn't feed on fear — it feeds on *expectation*, breaking the rules with chaotic glee.",x
Galivor,Mythos,"High MAG, Medium WIL",Setup Sweeper,Summons a personal myth field that strengthens signature moves each turn it's active,"A goat-like being with curling horn-rings covered in story-etched bark. Its wool flows like smoke, and each eye carries a miniature galaxy.","Jireath is carved in cave murals across Eldralore — not as fact, but as a warning: the moment a myth begins to believe in itself, it becomes real.",x
Caelira,Bless,"High WIL, Medium STA",Cleric,Converts enemy status attempts into self-healing,A peacock-swan hybrid with a semi-transparent halo fan instead of a tail. Its neck is etched with hymn-like runes that glow when status magic nears.,"It is said that Cygnari sings only when insulted — not out of rage, but to purify the air itself. Shrines in Halohaven paint its feathers as a song in motion.",x
Skirra,Wind,"High SWF, Medium MGT",Pivot,Can dodge moves on swap-ins based on terrain,A gazelle-falcon hybrid with membrane wings that fold flush to its sides. Its tail splits into three streamlines that flutter when airborne.,"Drivale drifts between Skyrend wind gates, racing storm currents. Some say it vanishes when followed — not from speed, but choice.",x
Friselle,Frost,"High MAG, Medium VIT",Special Sweeper,Deals bonus damage in snowy terrain and slows enemies on crit,"A flamingo-like creature with icicle-petal wings. Its long legs leave glowing frost stamps, and its feathers reflect fragmented skies.","In high canopies of Glacien’s frostlight trees, Glayline dances silently on frozen branches — never cracking a twig, yet always shifting the cold.",x
Quenara,Spirit,"High WIL, Low SWF",Support,Creates a safety field that revives one fainted ally with 20% HP once per match,A platypus-shaped warden with bell-shaped tail markings that ring when it moves. Its body is partially translucent and pulses like a heartbeat.,"Some say Traloom doesn’t heal — it remembers. Found near memorypools in Umbradeep, it swims backward through time, pulling the living from endings.",x
Orrikai,Neutral,Balanced,Utility,Randomizes terrain effects every 5 turns,A mole-like creature with mirrored eye-plates and a spinning compass-shell embedded in its back. Its fur shimmers differently from every angle.,"Legends say Orrikai is the original source of direction — not by guiding, but by changing where the path begins.",x
Thalassa,Cosmic,"High MAG, Medium SWF",Burst Nuker,Creates a field where moves loop once — repeated at 25% power,A whale-manta fusion with constellation scars and ribbon fins that vibrate with delay-energy. Its underbelly holds a visual echo of what just happened.,"When Vastrell breaches the atmosphere, light echoes for days. Many believe it isn’t celestial — it *records* the cosmos from below.",x
Sonari,Cyber,"High STA, Medium MAG",Wall,Halves damage from repeated moves,A snail-bot creature with audio-wave shells. Its antennae blink Morse-like data and broadcast confusion pulses when hit repeatedly.,"Mollivox is a relic of Netraxis deep code — a shell built to learn, then endure. It doesn’t retaliate — it *wears you down by remembering.*",x
Brunhoka,Terra,"High MGT, Medium GRD",Bruiser,Ignores terrain penalties completely and buffs on shifting fields,A bear-goat hybrid with hooves shaped like stone wheels and a ridged spine that flexes with tectonic force. Dust gathers in its fur like memory sediment.,"Brunhoka walks not over land, but with it. Its presence is rumored to quiet quakes — not by resisting them, but by embodying their rhythm.",x
Ignovar,Inferno,"High MGT, Low WIL",Setup Sweeper,Boosts power for each KO in last 3 turns,A boar-like flamebeast with glowing forge-coil tusks and ember-runes across its flanks. Its tail is a furnace pipe that vents sparks with each breath.,"Ferrunox was once sealed in the Emberveil heartforge. Its escape triggered the last flamefall — not from anger, but unfinished momentum.",x
Pandana,Bless,"High MAG, Medium VIT",Support,Applies protective fields to weak allies only,A deer-panda hybrid with floating crystal leaves that orbit like a soft shield. Its breath glows when near the vulnerable.,"In Halohaven, Miralys is known as the Hope Bloom — not for strength, but selective grace. It appears not when called, but when needed most.",x
Spynether,Volt,"High SWF, Medium MAG",Fast Attacker,Can tag an enemy for extra damage if they switch,A spider-like creature with lightning-thread spinnerets and legs shaped like tuning rods. Its back patterns change like circuit boards mid-battle.,"In Netraxis spirefields, Spynether is a whisper — seen only as flash-glints across skyglass. Its thread doesn’t trap — it predicts escape.",
Frayori,Wind,"High SWF, Medium MAG",Support,Reduces cooldowns or delay timers of nearby allies’ abilities,"A lemurlike glider with scarf-like tail plumes and feathered ear-wisps. It rides jetstreams invisibly, known only by a scent of ozone and lilac.","Frayori’s appearance signals moments of sudden clarity — a breeze that turns back time by seconds. In Skyrend temples, it’s carved into hourglass edges.",
Thunavax,Volt/Neutral,"High SWF, Medium MAG",Tempo Disruptor,Can reverse move order on odd-numbered turns,"A chimeric pangolin with segmented magnetic scales that ripple outward like soundwave coils. Its tail is a balanced tuning fork that resonates in battle, modulating electric frequency with precise vibrations.","Thunavax is said to be the first to hear the pulse of the earth. In Nohara’s charged plains, it folds into a coil and hums — shifting wind, voltage, and rhythm with every movement. Elders call it the ‘Ear of Equilibrium.’",
Cryzmare,Frost/Cursed,"High MAG, Medium SWF",Special Sweeper,Deals double damage to sleeping or frozen targets,"A moose-like beast with antlers carved from permafrost, each tip tipped with shards resembling dreamcatcher webbing. Its fur drips with spectral frost, and its breath fog freezes into shrieking faces mid-air.","In the silent reaches of Gravemarch, travelers whisper of Cryzmare’s howl — a sound that enters dreams and freezes them in place. It haunts the liminal moment between thought and sleep, hunting the unrested.",
Zenthra,Mind,"High WIL, Medium MAG",Support,Reflects debuffs back to the sender every third turn,"A sleek aye-aye-like creature with a luminous forehead crystal and fractal tails that spin in recursive spirals. Its fingers are long and brush the air in slow arcs, tracing defensive runes mid-combat.","Zenthra was once believed to be a hallucination — a 'guardian glitch' that emerged during meditation rites. Now, the monks of Cerevale carve its shape into temple walls, seeking to summon its mirrored clarity.",
Florhorn,Flora/Neutral,"High STA, Medium MGT",Tank,Gains damage resistance for each ally still standing,"An armored ox-like creature with ridged bark horns that bloom with canopy moss under stress. Pollen steams from vents in its shoulders when it stands still too long, creating microclimates around it.","In the canyon hollows of Verdanta, Florhorn is seen as a living root-vault — anchoring growth and memory. Even predators lie down beside it when storms pass overhead, drawn to its grounded breath.",
Virebloom,Flora/Cosmic,"High MAG, Medium WIL",Zone Setter,Creates a battlefield state where healing is converted to shields,"A floating tulip-headed jellyfish with galactic pollen sacs orbiting its head like moons. Its petals open to reveal a constellation map, which shifts slightly every battle.","Sailors navigating by starlight speak of Virebloom’s bloom coinciding with new moons. It drifts through tidevaults, weaving invisible gardens in the sky that only the lost can find.",
Brontuor,Terra/Mythos,"High GRD, Medium STA",Hazard Setter,Summons shifting terrain hazards that change each turn,"A brontosaurus-shaped guardian with terraces built into its mossy back, each layered with ancient tablets and carved myth-glyphs. Its footsteps release pressure blooms of powdered stone sigils.","Brontuor is known in Gravemarch legends as the ‘Heir of the Moving Mountain.’ Whenever it moves, lands realign and boundaries blur — entire territories marked only by its resting place.",
Kelvoura,Frost,"High WIL, Medium STA",Wall,Reduces enemy crit chance and resets all luck-based effects,"A swanlike creature with long, curving wings that refract moonlight like prisms. Its neck is formed of glacial glass, semi-hollow and echoing with snowfall sounds as it moves.","The folk of Glacien call Kelvoura the ‘Silent Swayer.’ It’s said to appear before avalanches not to warn — but to witness. The land calms in its presence, waiting for the future to fall.",
Duskrin,Spirit/Mind,"High MAG, Medium SWF",Disruptor,Can trap one enemy move in ‘limbo’ — unusable for 3 turns,"A sleek tarsier-like figure with twin ghostly tails and deep black eyes that glow with shifting memories. Its ears are asymmetrical mirrors — one records the past, one hears thoughts not yet spoken.","Duskrin is often glimpsed by those on the brink of decision. In Cerevale folklore, it's the one who removes choices to reveal truths — not by force, but by silence.",
Glintara,Cosmic/Bless,"High STA, Medium MAG",Support,Can reflect one ally's next ability at +50% power,A capybara-sized pangolin with scale-shards of mirrored starlight. From its back rises a low orbiting halo-band of light fractures that warp reality briefly around allies.,"In Halohaven myths, Glintara is said to be born when a wish lands gently instead of burning. It guides by reflection, offering not answers, but better versions of what already exists.",
Aetherix,Wind/Mythos,"High SWF, Medium MAG",Fast Attacker,Unblockable when terrain is neutralized,A hummingbird-dragon hybrid with wings that disassemble into feathered glyphs mid-flight. Its tail streams are etched with sacred calligraphy that vanishes if you try to read it directly.,"Aetherix flits through Skyrend ruins like punctuation in a forgotten poem. When it stops, winds die. When it stirs, even echoes chase after it — searching for meaning in its motion.",
Moondrel,Neutral,Balanced,Generalist,Copies enemy stat lean temporarily after hit,"A featherless owl-Kiboru with a crescent-shaped hood where its eyes should be. Its body is a smooth blend of matte gray and shimmer-scale, rippling subtly when adapting.","Moondrel does not fly. It drifts. Found only in quiet eclipse zones, it is said to reflect what the world needs — never more, never less. A guardian not of light, but of balance between.",
Grallophex,Volt/Cyber,"High MGT, Medium GRD",Bruiser,Builds charge with movement — every reposition adds stacking damage,"A crocodile-armadillo hybrid with kinetic coil plating along its back. Its legs are short and spring-loaded, each step creating a high-pitched whine like spinning turbines.","In the chargefields of Netraxis, Grallophex was first discovered tunneling — not for prey, but to charge its coils. When it coils, it sparks. When it uncurls, it crashes.",
Tundrillith,Frost/Spirit,"High STA, Medium GRD",Wall,Drains enemy stat boosts upon contact,"A shaggy, slothlike creature with fur made of soft snowflakes. It carries a glowing spinal root beneath its coat, visible only when struck — pulsing with soft white light.","To meet a Tundrillith is to forget your anger. Stories say it absorbs ego and noise, leaving only silence in its wake. It does not defend its territory — the land simply quiets around it.",
Mythdrae,Mythos/Inferno,"High MAG, Low STA",Burst Nuker,Deals more damage the fewer allies remain alive,"A sleek, crimson dragon wreathed in golden ink-fire. Its scales are inscribed with tales of Kiboru fables, each glowing brighter as the battle becomes more desperate.","Mythdrae is not a dragon — it is the story of one. When its allies fall, its tale continues, burning brighter. Some say it’s the final chapter of every myth, given form.",
Clairowisp,Mind/Bless,"High WIL, Medium SWF",Support,Sees enemy next move and grants ally evasion if it's a high-damage action,A floating anglerfish-like creature with a will-o-wisp orb hanging from its head. Its fins are parchment-thin and scripted with moving glyphs that adjust mid-battle.,"Clairowisp drifts near Halohaven shrines, where prophecy and light converge. It doesn't speak the future — it illuminates what might be, flickering just long enough for the wise to step aside.",
