# ,Name,Typing 1,Typing 2,HP,MP,STR,INT,DEF,M.DEF,DEX,TOTAL,Stat Lean,Role,Battle Niche,
017,Mirellon,Cosmic,,83,82,82,123,94,61,91,616,"High MAG, Medium SWF",Special Sweeper,Warp beam scales with time in battle,
018,Mimari,Neutral,,75,78,89,88,73,83,74,560,Balanced,Generalist,Learns moves from allies and enemies,
019,Gravanel,Flora,Cursed,80,88,106,81,92,78,75,600,"High MGT, Medium GRD",Bruiser,Physical melee plant with vine strikes,
020,Solaire,Inferno,,68,90,94,124,73,74,83,606,"High MAG, Low STA",Burst Caster,Explosion-based magic finisher,
021,Finyu,Aqua,,88,90,76,80,75,99,119,627,"Balanced, Medium SWF",Utility Pivot,Washes away hazards and debuffs,
022,Fernace,Inferno,Flora,83,71,107,97,77,72,82,589,"High MGT, Medium STA",Setup Sweeper,Burning brambles enhance physical strikes,
023,Narviu,Aqua,Frost,95,74,72,114,95,106,76,632,"High WIL, High MAG",Wall,Applies slow and leeching mist,
024,Vollox,Volt,Terra,114,84,86,83,127,74,99,667,"High GRD, High STA",Tank,Charges up after taking damage,
025,Sombrae,Mind,Spirit,100,102,83,100,66,80,84,615,"High MAG, High STA",Disruptor,"Phases in and out of turns, confusing enemies",
026,Hexel,Cyber,Cursed,93,85,81,88,89,98,86,620,"Medium MAG, High STA",Utility,Reflects debuffs and disables enemy buffs,
027,Trevolt,Flora,Volt,64,82,100,86,87,73,119,611,"High SWF, Medium MGT",Pivot,Strikes and seeds simultaneously,
028,Skaiya,Wind,Bless,87,84,81,74,85,88,107,606,"High SWF, Medium MAG",Support,Sets weather and grants evasion buffs,
029,Scaithe,Inferno,Cursed,85,76,93,84,70,84,81,573,"High MGT, Low STA",Revenge Killer,Deals bonus damage after a fallen ally,
030,Zerine,Frost,Volt,74,67,61,130,77,81,105,595,"High SWF, High MAG",Burst Attacker,Freezes then shocks for bonus damage,
031,Mylaren,Mythos,Flora,106,67,86,71,84,77,66,557,"Balanced Stats, High STA",Zone Setter,Establishes a field that boosts growth and legends,
032,Gravyrn,Wind,Terra,92,80,73,78,119,83,90,615,"High GRD, Medium SWF",Wall,Gains DEF in stormy weather,
033,Neorift,Cosmic,Cyber,101,86,75,130,81,67,76,616,"High MAG, High STA",Special Sweeper,Teleports between enemy targets,
034,Lumira,Bless,Cursed,79,88,80,92,75,130,85,629,"High WIL, Medium MAG",Cleric,Heals allies but siphons their debuffs,
035,Eurgeist,Aqua,Spirit,96,64,84,105,99,101,64,613,"High WIL, High MAG",Wall,Summons tide armor from souls of drowned foes,
036,Soltren,Inferno,Volt,91,83,68,119,76,75,106,618,"High SWF, High MAG",Setup Sweeper,Stacks speed with each KO,
037,Synkra,Mind,Volt,85,72,85,125,88,85,106,646,"High SWF, High MAG",Tempo Swinger,Steals initiative with mind shocks,
038,Myrabyte,Cyber,Spirit,91,98,81,89,93,98,83,633,"High STA, Medium MAG",Utility,Copies enemy moves post-KO,
039,Frisela,Frost,Bless,95,80,74,75,74,114,80,592,"High WIL, Medium VIT",Cleric,Heals allies and shields with snow,
040,Noxtar,Cursed,Cosmic,73,97,84,120,81,70,105,630,"High MAG, Medium SWF",Burst Nuker,Spends HP to deal high AoE damage,
041,Rokhara,Mythos,Terra,88,61,116,78,98,86,80,607,"High MGT, Medium GRD",Bruiser,Each attack unlocks a passive rune,
042,Turtaura,Bless,Cyber,118,73,80,64,94,98,81,608,"High STA, Medium WIL",Utility Support,Shields allies and resets terrain,
043,Miravi,Spirit,Wind,103,86,75,91,90,83,130,658,"High SWF, Medium STA",Pivot,Can mimic enemy support moves,
044,Lychbloom,Flora,Spirit,115,87,97,70,87,88,83,627,"High WIL, High STA",Wall,Nullifies stat drops and status,
045,Galeva,Wind,Neutral,59,77,89,66,87,79,110,567,Balanced,Pivot,Can reset battlefield states once per match,
046,Crynith,Cursed,,71,66,71,104,75,82,77,546,"High MAG, Low STA",Disruptor,Randomly disables enemy passives for 2 turns,
047,Galivor,Mythos,,61,51,79,127,85,99,77,579,"High MAG, Medium WIL",Setup Sweeper,Summons a personal myth field that strengthens signature moves each turn it's active,
048,Caelira,Bless,,98,89,73,80,85,119,85,629,"High WIL, Medium STA",Cleric,Converts enemy status attempts into self-healing,
049,Skirra,Wind,,78,85,89,87,66,81,130,616,"High SWF, Medium MGT",Pivot,Can dodge moves on swap-ins based on terrain,
050,Friselle,Frost,,79,84,73,130,70,87,81,604,"High MAG, Medium VIT",Special Sweeper,Deals bonus damage in snowy terrain and slows enemies on crit,
051,Quenara,Spirit,,85,96,65,72,70,113,76,577,"High WIL, Low SWF",Support,Creates a safety field that revives one fainted ally with 20% HP once per match,
052,Orrikai,Neutral,,71,90,94,87,86,98,74,600,Balanced,Utility,Randomizes terrain effects every 5 turns,
053,Thalassa,Cosmic,,63,105,88,116,85,94,87,638,"High MAG, Medium SWF",Burst Nuker,Creates a field where moves loop once — repeated at 25% power,
054,Sonari,Cyber,,123,77,83,81,99,74,80,617,"High STA, Medium MAG",Wall,Halves damage from repeated moves,
055,Brunhoka,Terra,,66,79,105,82,86,75,73,566,"High MGT, Medium GRD",Bruiser,Ignores terrain penalties completely and buffs on shifting fields,
056,Ignovar,Inferno,,80,85,110,89,85,76,83,608,"High MGT, Low WIL",Setup Sweeper,Boosts power for each KO in last 3 turns,
057,Pandana,Bless,,89,94,72,107,76,98,80,616,"High MAG, Medium VIT",Support,Applies protective fields to weak allies only,
058,Thryxa,Volt,,72,96,79,89,66,88,122,612,"High SWF, Medium MAG",Fast Attacker,Can tag an enemy for extra damage if they switch,
059,Elyuri,Wind,,77,89,91,98,55,96,109,615,"High SWF, Medium MAG",Support,Reduces cooldowns or delay timers of nearby allies’ abilities,
060,Axerra,Volt,Neutral,84,89,78,81,72,79,94,577,"High SWF, Medium MAG",Tempo Disruptor,Can reverse move order on odd-numbered turns,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Glaciourne,,,Frost/Cursed,,,,,,,,,"High MAG, Medium SWF",Special Sweeper,Deals double damage to sleeping or frozen targets
,Ixari,,,Mind,,,,,,,,,"High WIL, Medium MAG",Support,Reflects debuffs back to the sender every third turn
,Florhorn,,,Flora/Neutral,,,,,,,,,"High STA, Medium MGT",Tank,Gains damage resistance for each ally still standing
,Virebloom,,,Flora/Cosmic,,,,,,,,,"High MAG, Medium WIL",Zone Setter,Creates a battlefield state where healing is converted to shields
,Brontuor,,,Terra/Mythos,,,,,,,,,"High GRD, Medium STA",Hazard Setter,Summons shifting terrain hazards that change each turn
,Kelvoura,,,Frost,,,,,,,,,"High WIL, Medium STA",Wall,Reduces enemy crit chance and resets all luck-based effects
,Duskrin,,,Spirit/Mind,,,,,,,,,"High MAG, Medium SWF",Disruptor,Can trap one enemy move in ‘limbo’ — unusable for 3 turns
,Glintara,,,Cosmic/Bless,,,,,,,,,"High STA, Medium MAG",Support,Can reflect one ally's next ability at +50% power
,Aetherix,,,Wind/Mythos,,,,,,,,,"High SWF, Medium MAG",Fast Attacker,Unblockable when terrain is neutralized
,Moondrel,,,Neutral,,,,,,,,,Balanced,Generalist,Copies enemy stat lean temporarily after hit
,Grallophex,,,Volt/Cyber,,,,,,,,,"High MGT, Medium GRD",Bruiser,Builds charge with movement — every reposition adds stacking damage
,Tundrillith,,,Frost/Spirit,,,,,,,,,"High STA, Medium GRD",Wall,Drains enemy stat boosts upon contact
,Mythdrae,,,Mythos/Inferno,,,,,,,,,"High MAG, Low STA",Burst Nuker,Deals more damage the fewer allies remain alive
,Clairowisp,,,Mind/Bless,,,,,,,,,"High WIL, Medium SWF",Support,Sees enemy next move and grants ally evasion if it's a high-damage action
